,c1,c2,t1,t2
YAL001C,4.505247376311844,3.7016491754122938,3.7791104447776114,3.926536731634183
YAL002W,23.11894052973513,19.488755622188904,14.470264867566216,10.047476261869065
YAL003W,28.33383308345827,26.26686656671664,15.355322338830584,14.980009995002499
YAL005C,4.348325837081459,3.730134932533733,3.6871564217891053,3.924037981009495
YAL007C,3.6516741629185407,3.5662168915542227,3.7006496751624187,4.401799100449775
YAL008W,3.3283358320839582,3.2223888055972014,3.4917541229385307,3.3243378310844576
YAL009W,4.082458770614693,3.5082458770614693,4.760119940029985,4.0389805097451275
YAL010C,2.3308345827086456,3.0124937531234384,3.5027486256871563,3.3308345827086456
YAL011W,3.7481259370314843,3.3128435782108947,4.002498750624688,3.3138430784607698
YAL012W,4.693153423288356,4.152423788105947,5.05047476261869,3.75712143928036
YAL013W,3.5927036481759123,3.2998500749625186,4.671164417791104,2.3813093453273364
YAL014C,4.222388805597201,3.7991004497751124,4.769115442278861,3.4602698650674664
YAL016W,5.078460769615193,4.962018990504748,6.529735132433783,5.095952023988006
YAL017W,3.2703648175912043,2.8205897051474262,3.4227886056971513,3.052473763118441
YAL019W,3.5282358820589703,3.9555222388805595,3.9565217391304346,2.763618190904548
YAL020C,1.5197401299350324,2.39880059970015,2.476761619190405,1.024487756121939
YAL021C,2.9390304847576214,2.969015492253873,4.148925537231384,2.426286856571714
YAL022C,4.181409295352323,3.8865567216391805,4.4387806096951525,4.386306846576711
YAL023C,5.299350324837581,5.128935532233883,4.513243378310845,3.420289855072464
YAL024C,4.301849075462269,2.6016991504247877,2.9835082458770614,3.9120439780109946
YAL025C,6.557221389305347,7.206896551724138,6.7876061969015495,5.920539730134933
YAL026C,4.439780109945027,3.0059970014992503,4.907046476761619,4.35632183908046
YAL027W,3.113943028485757,2.9290354822588704,3.416791604197901,3.4417791104447777
YAL028W,3.5387306346826586,3.4727636181909047,3.5407296351824087,2.8275862068965516
YAL029C,4.670664667666167,3.8215892053973013,4.623688155922039,4.83608195902049
YAL030W,4.680659670164918,3.8545727136431784,3.1839080459770117,3.424287856071964
YAL031C,3.031984007996002,3.6016991504247877,5.477261369315342,3.811094452773613
YAL032C,3.4122938530734634,3.719640179910045,4.160919540229885,3.3608195902048976
YAL033W,4.002498750624688,4.294352823588206,6.0389805097451275,4.878060969515243
YAL034W-A,3.5612193903048475,3.0249875062468767,4.04047976011994,4.239380309845077
YAL035W,6.304347826086956,6.513743128435782,6.786606696651674,4.179910044977511
YAL036C,4.279860069965017,4.080459770114943,4.827586206896552,3.60119940029985
YAL038W,29.051474262868567,29.22088955522239,30.06446776611694,18.40629685157421
YAL039C,4.097951024487756,3.847576211894053,2.6136931534232883,2.20039980009995
YAL040C,9.388805597201399,8.86656671664168,8.452773613193404,6.1634182908545725
YAL041W,9.663168415792104,7.611694152923538,12.808595702148926,7.917041479260369
YAL042W,3.2053973013493255,2.7716141929035483,3.708145927036482,3.1149425287356323
YAL043C,4.264867566216892,4.130434782608695,6.73263368315842,4.52223888055972
YAL044C,4.686656671664168,3.4012993503248374,4.064967516241879,3.8460769615192403
YAL044W-A,6.485257371314343,6.472263868065967,5.20839580209895,4.463768115942029
YAL046C,3.996501749125437,4.030984507746127,4.351824087956022,3.603698150924538
YAL048C,2.7946026986506745,1.8380809595202399,3.348825587206397,3.3233383308345825
YAL049C,3.5037481259370313,3.132933533233383,3.8715642178910543,3.55872063968016
YAL053W,5.455272363818091,4.685157421289356,4.655672163918041,3.8895552223888057
YAL055W,3.922538730634683,2.973013493253373,4.598200899550225,3.7116441779110443
YAL056W,4.618690654672664,3.4472763618190903,4.379310344827586,4.047976011994003
YAL058W,5.552723638180909,5.5612193903048475,6.83608195902049,5.200899550224888
YAL059W,8.262368815592204,8.61719140429785,10.967016491754123,7.983508245877061
YAL060W,6.926036981509245,5.8145927036481755,5.918040979510245,3.8620689655172415
YAL061W,2.52623688155922,1.791104447776112,2.8765617191404296,2.890054972513743
YAL062W,3.542728635682159,2.975512243878061,2.7806096951524237,2.6971514242878563
YAL063C,2.124937531234383,1.5752123938030984,1.727136431784108,2.1954022988505746
YAL067C,1.6456771614192904,2.0679660169915044,1.8615692153923038,2.708645677161419
YAR002C-A,5.944527736131934,5.399300349825087,4.595702148925537,4.48375812093953
YAR002W,4.546226886556721,3.873063468265867,3.3458270864567714,3.9310344827586206
YAR003W,3.4822588705647175,2.8805597201399302,2.651174412793603,3.016991504247876
YAR007C,2.7071464267866068,2.108945527236382,2.175912043978011,3.0699650174912545
YAR008W,2.6166916541729135,2.689655172413793,1.9530234882558721,2.2043978010994505
YAR014C,5.026486756621689,5.191904047976012,5.482258870564718,3.2233883058470765
YAR015W,4.913043478260869,3.610694652673663,3.348825587206397,3.7241379310344827
YAR018C,3.0944527736131935,3.051474262868566,2.5657171414292854,2.785607196401799
YAR027W,2.795102448775612,2.823088455772114,4.666166916541729,4.1789105447276365
YAR028W,3.9910044977511245,4.085957021489255,4.772613693153423,3.768615692153923
YAR031W,2.369315342328836,2.3323338330834584,2.3938030984507748,3.103448275862069
YAR033W,2.9025487256371814,3.0174912543728136,3.896551724137931,3.3818090954522737
YAR042W,2.7241379310344827,2.399800099950025,3.1849075462268868,2.391304347826087
YAR066W,2.4237881059470263,2.474762618690655,2.4082958520739632,2.130434782608696
YAR071W,2.822088955522239,3.1949025487256373,2.9060469765117443,3.4312843578210894
YBL001C,21.93553223388306,22.244377811094452,13.383308345827086,9.003498250874562
YBL002W,22.523738130934532,21.369315342328836,14.454772613693153,12.95952023988006
YBL003C,36.26786606696652,33.39930034982509,20.563218390804597,24.140429785107447
YBL004W,8.548725637181409,7.96351824087956,6.769615192403798,7.072463768115942
YBL005W,3.289855072463768,3.604197901049475,3.1339330334832582,2.6616691654172913
YBL006C,7.027486256871565,6.206896551724138,5.4047976011994,5.736131934032984
YBL009W,2.9515242378810593,2.2393803098450773,2.533233383308346,3.1849075462268868
YBL010C,2.7541229385307346,2.36431784107946,2.365317341329335,2.56071964017991
YBL011W,3.800599700149925,3.662168915542229,4.179410294852573,2.7566216891554225
YBL013W,5.106446776611694,3.9185407296351826,2.8565717141429285,3.627686156921539
YBL014C,5.357321339330335,4.087956021989005,3.609695152423788,4.320339830084958
YBL015W,2.572713643178411,2.8620689655172415,2.5977011494252875,2.3293353323338333
YBL016W,4.147426286856572,3.6891554222888554,4.8145927036481755,3.6541729135432286
YBL017C,5.9345327336331835,4.644677661169415,5.401299350324837,4.994502748625687
YBL018C,5.249375312343828,5.062968515742129,6.830584707646177,7.191404297851075
YBL019W,3.2213893053473264,3.1499250374812595,4.022488755622189,5.002498750624688
YBL020W,4.539230384807596,3.8520739630184906,4.995502248875562,4.187406296851575
YBL021C,3.6561719140429787,3.751624187906047,4.657171414292853,3.1519240379810096
YBL022C,4.816091954022989,4.093453273363318,5.47376311844078,4.607196401799101
YBL023C,4.549225387306347,3.3783108445777112,4.223888055972014,3.8760619690154923
YBL024W,5.502748625687157,6.084457771114443,5.417791104447776,5.567216391804098
YBL025W,3.966016991504248,4.367316341829086,4.8455772113943025,4.871064467766117
YBL026W,6.286856571714143,6.1189405297351325,5.818590704647677,5.259370314842578
YBL027W,16.517741129435283,15.550224887556222,20.573713143428286,14.82408795602199
YBL028C,8.936531734132933,9.397801099450275,8.697151424287856,9.119940029985008
YBL029C-A,7.43328335832084,6.186906546726637,5.751624187906047,4.959020489755122
YBL030C,8.03448275862069,6.923538230884557,7.514742628685657,5.493753123438281
YBL031W,3.5152423788105946,3.1039480259870067,2.5142428785607196,2.638680659670165
YBL032W,2.2148925537231383,2.9815092453773113,2.058470764617691,2.1649175412293853
YBL033C,5.285357321339331,5.9700149925037485,4.569715142428786,2.8360819590204898
YBL034C,4.573213393303348,3.6776611694152925,3.626686656671664,3.5857071464267865
YBL035C,2.8835582208895554,2.44127936031984,2.6816591704147927,2.843078460769615
YBL036C,4.411794102948526,4.123938030984508,5.687656171914043,4.386306846576711
YBL037W,5.190904547726137,4.857071464267866,5.569715142428786,4.743128435782109
YBL038W,3.791104447776112,4.072463768115942,3.2328835582208897,4.096951524237881
YBL039C,9.388305847076461,9.916041979010494,5.239880059970015,5.821589205397301
YBL039W-B,4.169415292353823,3.210394802598701,2.741129435282359,3.260369815092454
YBL040C,6.911044477761119,6.462268865567216,6.214392803598201,5.489255372313843
YBL041W,11.344327836081959,9.547726136931534,11.25687156421789,7.110944527736132
