"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"YHR136C",-1.91369812915372,8.08004984285774,-11.7691146596069,2.4208966700797e-08,0.000126007671677648,8.8766106081886
"YBR296C",-1.61714238523868,7.33318639728199,-8.56637074860543,9.89320837357547e-07,0.00257470747922302,5.81141131686919
"YHR214C-E",-1.49724198068249,7.09860306919524,-7.92059466161586,2.36533517648846e-06,0.00394905450376058,5.00851514506173
"YPR149W",-1.26548404503931,7.64312403983143,-7.66640125173879,3.37857002811655e-06,0.00394905450376058,4.79226215400595
"YOL059W",-1.38297022481114,8.78436941640216,-7.458029949188,4.55222421182775e-06,0.00394905450376058,4.41870502278102
"YJL130C",-1.700603110741,8.94684087806656,-7.48688241621365,4.36670250713027e-06,0.00394905450376058,4.41257392179271
"YDR033W",-2.28785484227199,8.12584818771785,-6.97333786532171,9.30393307421385e-06,0.00673731189652082,3.79869785346909
"YJL079C",-1.07713192473383,7.92202056880554,-6.83671469881167,1.14437984764021e-05,0.00673731189652082,3.66074509410054
"YMR251W-A",-1.26507572348108,8.15026204884534,-6.82503097829067,1.16495306568083e-05,0.00673731189652082,3.6322885090866
"YFR055W",-1.12803782584045,7.55165954294843,-6.72897722133588,1.349663244715e-05,0.00702499718874159,3.50898419460291
"YDR275W",-1.4416144054983,7.76411213305641,-6.51265599196416,1.88862381966318e-05,0.00793833459540844,3.18630767140857
"YGR234W",-1.16480588389543,8.160626586588,-6.48170039494105,1.98267722844015e-05,0.00793833459540844,3.13804754583912
"YKL216W",-1.27775722540062,9.18599892338067,-6.48868207608243,1.96104121788932e-05,0.00793833459540844,3.0711465988329
"YGR097W",-1.09751558242083,8.32092181964409,-6.34226183128977,2.47190163577678e-05,0.00850950778847952,2.92779451988389
"YOL126C",-1.7685166655065,8.62519099336023,-6.31047955999651,2.60030516037906e-05,0.00850950778847952,2.85480732673122
"YGL162W",-1.49742390354125,8.20579357860735,-6.27248838041916,2.76307870703328e-05,0.00850950778847952,2.82132950878884
