"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"YHR215W",-2.48778679114898,8.22869959365711,-19.9390186443844,8.92698141045677e-17,4.64649382414275e-13,28.0680584016707
"YAR071W",-2.21235003210442,8.06738983847475,-17.5582676448139,1.70667879368441e-15,4.44163156056368e-12,25.3108620215248
"YHR216W",-1.43022270878353,9.07866651095323,-15.5166064046779,2.85606865497917e-14,3.95375788681698e-11,22.6714512662612
"YMR122W-A",-1.64209592953786,9.49291366345263,-15.4740812976766,3.03843065269316e-14,3.95375788681698e-11,22.6126560786766
"YKL096W-A",-1.46888658714302,9.96942606703524,-15.1464713178358,4.91798324559031e-14,5.11962055865951e-11,22.14567471013
"YKR042W",-1.89452521167436,9.81905492118015,-14.5717412678903,1.1687234581395e-13,7.67919100890165e-11,21.3033293711491
"YGR234W",-1.9361387740046,7.81730472845115,-14.5594843461388,1.19085191599298e-13,7.67919100890165e-11,21.2472609670069
"YCL064C",-1.47316962808852,8.1844504217647,-14.4964728657423,1.3116625339033e-13,7.67919100890165e-11,21.1793553299938
"YLR300W",-2.22366978127974,8.59589002138408,-14.4885074950695,1.32781400730288e-13,7.67919100890165e-11,21.1697711119561
"YHR136C",-1.79302179376494,8.38217223122252,-14.3532848432343,1.63578282199589e-13,8.5142495884886e-11,20.9662630540226
"YGL008C",-1.83837087217361,9.84046348199358,-14.0289678716466,2.71506663317932e-13,1.28472016597258e-10,20.4806156996784
"YNL327W",-1.59498362972384,8.62804005604369,-13.896937571421,3.34590409975107e-13,1.45128590326703e-10,20.2724460212376
"YJL130C",-1.53584254376985,8.72292799945982,-13.6864646619993,4.6833382700412e-13,1.8751365919665e-10,19.944454821722
"YOL086C",-1.58397739008202,10.7456065471967,-13.6230534472435,5.18677150605881e-13,1.92836754921687e-10,19.8463370054263
"YGR155W",-1.26175799660634,9.3315831174857,-13.4876742096343,6.45803879340522e-13,2.24093946131161e-10,19.632390655074
"YBR158W",-1.42917387879053,9.25621950650711,-13.1950993928676,1.04324316058252e-12,3.39380040677003e-10,19.1611081943639
"YER056C",-1.35225344329849,10.7213493602878,-12.9764120905233,1.50099610344267e-12,4.59569689318772e-10,18.8029430786099
"YHR214C-E",-1.78403253904492,6.93128433955338,-12.6665098155929,2.53363255265294e-12,7.32642079808808e-10,18.2176827604865
"YGL098W",1.40271059958055,9.50389377386202,12.2986678848458,4.77576919532472e-12,1.30830940324554e-09,17.6618781498708
"YDR472W",1.14385326754648,10.3109282158729,11.8085348220928,1.13592422805329e-11,2.95624280350867e-09,16.804626750238
"YJL133C-A",-1.41510194561804,9.12912343296543,-11.707824080787,1.36160576196993e-11,3.26920113228505e-09,16.6253999224211
"YLR286C",-1.44599518492709,7.4303860212854,-11.6996711190693,1.3817949070177e-11,3.26920113228505e-09,16.6106348598116
"YDR033W",-2.18793417182126,7.80268513183684,-11.5377871496264,1.85362089538063e-11,4.1948246784592e-09,16.3232020347458
"YHL015W",-1.03356658127473,9.72782351398883,-11.4738184871181,2.08343117108342e-11,4.51844135228716e-09,16.2033184748188
"YKR052C",1.13281918445462,8.3356270954551,11.4425236567918,2.2063939863934e-11,4.59371227967105e-09,16.1495134345174
"YLR044C",-1.04725122875124,9.50342512027059,-11.2530335626666,3.12963126819261e-11,6.26528105805483e-09,15.7993579666701
"YCL008C",1.5678700683245,7.8606082966666,11.1352170919923,3.89735861394724e-11,7.51324132799828e-09,15.5908621730056
"YKL210W",1.12754545425103,9.37955566892264,11.1051195475192,4.12306576924231e-11,7.66448476032364e-09,15.5254972059202
"YPR035W",-1.4587648201042,10.5286236179045,-10.9352296546645,5.67649083565736e-11,1.01883223446885e-08,15.2084789323552
"YIL134W",1.55434146918378,9.52108087156279,10.8955482024091,6.11959525679125e-11,1.06174977705328e-08,15.1331365861193
"YMR116C",-1.07996478639808,9.60198875906944,-10.8543217453715,6.61790959399672e-11,1.11116836892751e-08,15.0550368298464
"YMR191W",1.26196090427251,7.1794727929551,10.7013560927653,8.86386409027113e-11,1.41057229345484e-08,14.7826939442796
"YGR079W",-1.13723560079052,8.71015160108682,-10.6967192762621,8.94310964150045e-11,1.41057229345484e-08,14.7579547339083
"YOR315W",-1.32541626679446,7.88927193199039,-10.5715695876916,1.13825071863577e-10,1.74252793838211e-08,14.5263518244811
"YBR080C",1.89719566874153,7.81927521230889,10.4740802740068,1.37530351444439e-10,1.97977843711491e-08,14.3475705104643
"YNL024C-A",1.37463688592035,8.6656903567062,10.4496048114472,1.44245907674558e-10,1.97977843711491e-08,14.2842602447373
"YJL159W",-1.11547625315186,9.69080208567519,-10.4516256365385,1.4367883646725e-10,1.97977843711491e-08,14.2832843721967
"YPR037C",1.74384894873529,11.0530944732343,10.4485701592714,1.4453713854057e-10,1.97977843711491e-08,14.2788544926023
"YKL080W",1.2191551341386,8.38690171304738,10.4141349262843,1.5458410370082e-10,2.06310323016095e-08,14.2170580221611
"YDR275W",-1.22659315645145,7.56515917408702,-10.3742117810741,1.67139613035535e-10,2.1749042146249e-08,14.1512986446709
"YML024W",-0.899450544361623,8.81053500651349,-10.2017032432799,2.34742898831039e-10,2.98008972784282e-08,13.7956069399443
"YGL087C",1.60359749839554,10.3995737857302,10.1590142268066,2.55470135900804e-10,3.05391179067627e-08,13.7099110049613
"YDL055C",-0.997822078542926,9.57408939325604,-10.1563010139965,2.56849676594029e-10,3.05391179067627e-08,13.703946410975
"YEL071W",-1.00302804082492,10.8464445916011,-10.1537384185559,2.58159690278109e-10,3.05391179067627e-08,13.7007515856748
"YBR068C",-1.17015931437878,10.8523180248916,-10.1291653577759,2.71076935706294e-10,3.12643297949235e-08,13.6521682338421
"YML027W",1.65396262667486,8.01873302808743,10.1195641827819,2.76303394921514e-10,3.12643297949235e-08,13.6487067113495
"YDR132C",1.68808790009307,9.76112647716542,10.105327754599,2.84245093478038e-10,3.14786321607061e-08,13.6034208765031
"YDL037C",-2.28278645141022,7.71641467508094,-9.99908466212558,3.5146281719879e-10,3.81117492399938e-08,13.4216803033626
"YLR249W",-0.962655775873207,10.8504343114335,-9.98159147747349,3.64012629962372e-10,3.86670558970234e-08,13.3580160374404
"YKL164C",-1.01378754599757,9.13728028179959,-9.92785562594495,4.05532345390217e-10,4.22159171551216e-08,13.2484459388309
"YJL104W",1.47828783062109,8.96050712366729,9.87145314155016,4.54392296447766e-10,4.61860897873682e-08,13.1382615226082
"YCL005W-A",1.3996192397029,10.7127728232373,9.86386176003636,4.61417227462661e-10,4.61860897873682e-08,13.1203514563962
"YOR040W",1.79131730130428,7.83250882834604,9.83903970547509,4.85178657065975e-10,4.76482058495924e-08,13.0972437786205
"YAL038W",-1.20950606384093,10.0553234220684,-9.81530107185397,5.090836650086e-10,4.90700088216623e-08,13.0217095818004
"YIL148W",-1.12828052999792,8.74411866907841,-9.77943828103805,5.47523826308521e-10,5.18156639261064e-08,12.9520200782729
"YPL131W",-0.899154613164234,10.3819100023964,-9.74055794779201,5.92592971038369e-10,5.50794002545484e-08,12.8701084563878
"YGR159C",-1.25062983481962,9.35127687252705,-9.68605756914371,6.62294408396038e-10,6.02418886646554e-08,12.7585994686071
"YJL048C",1.35438091003888,9.77518589805737,9.67946299889693,6.71283293477428e-10,6.02418886646554e-08,12.7451362436686
"YML123C",-1.04040188968998,11.4207482442631,-9.5333365140613,9.06265148547121e-10,7.99510186133519e-08,12.4495672426257
"YPL187W",-1.02001490346283,10.9373327806423,-9.52403320323109,9.23834511799245e-10,8.01426438985845e-08,12.4284666193904
"YNL302C",-0.882545723493633,8.49220081314249,-9.44635129483907,1.08495402350348e-09,9.10592051472715e-08,12.2710069350427
"YNL112W",-1.22282319863463,10.0231314552433,-9.4465742585606,1.08445232293298e-09,9.10592051472715e-08,12.2661732122514
"YDL069C",1.06226572211521,7.7694558522239,9.42728360936453,1.12875571668108e-09,9.10592051472715e-08,12.2490920156086
"YLR413W",-1.02102237285361,9.29764445907168,-9.43814191585741,1.10359371514052e-09,9.10592051472715e-08,12.2479983786653
