,c1,c2,c3,c4,c7,c8,t1,t2,t3,t6,t7,t8
YLR355C,85.25537231384308,106.77561219390304,114.94652673663168,135.08995502248877,88.98250874562719,92.53373313343329,67.34382808595703,79.97001499250375,72.52923538230884,74.71864067966017,70.77661169415292,52.69015492253873
YLR110C,76.87906046976512,111.67666166916541,112.36281859070465,143.6686656671664,82.39530234882558,101.54522738630685,68.89005497251374,85.7176411794103,66.17341329335332,71.18440779610195,68.36281859070465,51.45527236381809
YDR345C,96.66416791604198,92.11744127936032,99.47826086956522,116.45927036481758,88.7311344327836,105.69715142428785,50.035482258870566,59.241379310344826,57.64917541229385,64.08095952023989,56.97001499250375,31.310344827586206
YDR524C-B,80.31784107946027,95.31934032983509,98.37731134432784,123.07946026986507,94.08895552223888,97.21689155422288,70.11044477761119,83.2703648175912,58.142428785607194,75.58920539730136,69.34682658670664,60.96601699150425
YPR036W-A,82.34132933533233,98.28735632183908,92.91754122938531,117.98850574712644,82.62268865567216,101.4647676161919,60.74262868565717,73.02748625687157,65.47076461769116,86.31834082958521,80.52873563218391,45.98150924537731
YOL086C,69.18890554722638,87.11494252873563,93.31934032983509,114.19140429785108,69.24687656171913,83.58270864567716,49.664167916041976,59.87806096951524,52.45077461269366,48.98350824587706,43.53523238380809,32.16691654172914
YOR063W,68.56171914042979,87.58370814592703,86.83108445777111,99.74212893553224,72.56221889055472,87.20589705147427,63.76011994002999,77.13943028485757,65.74212893553224,73.96851574212893,67.92003998000999,55.11344327836082
YGR192C,64.69615192403798,91.03748125937031,91.36931534232883,108.44927536231884,66.58620689655173,78.07596201899051,58.689655172413794,70.01749125437281,58.33233383308346,50.798100949525235,49.266866566716644,32.906546726636684
YML123C,68.13493253373314,76.14492753623189,80.46576711644178,97.78860569715143,72.46526736631684,87.52973513243379,53.54472763618191,72.11244377811094,55.32733633183408,76.01399300349826,73.67966016991504,38.03398300849575
YPL061W,75.99950024987507,68.5767116441779,70.70914542728636,80.50274862568716,81.97901049475263,101.65617191404297,80.3623188405797,100.84657671164418,81.67466266866566,125.4127936031984,119.10244877561219,68.76811594202898
YPR080W,66.41929035482259,79.2023988005997,84.95752123938031,90.14842578710645,68.01949025487257,77.93303348325837,67.30534732633683,75.02948525737132,69.79960019990006,80.63968015992003,74.24737631184408,52.54772613693154
YBR118W,63.107946026986504,77.10544727636182,80.1304347826087,93.94452773613193,69.31984007996002,72.2728635682159,61.39530234882559,81.2768615692154,68.6896551724138,76.98050974512743,72.0679660169915,55.241379310344826
YNL067W,58.79910044977511,77.3008495752124,81.50624687656172,86.95302348825587,68.82358820589705,75.54672663668165,66.80659670164917,76.47326336831584,63.30284857571215,70.16991504247876,66.8215892053973,57.71914042978511
YHL033C,63.4527736131934,74.48825587206397,78.13293353323338,91.40029985007496,64.33933033483258,69.07696151924038,54.43328335832084,55.86056971514243,56.54522738630685,69.3248375812094,58.643178410794604,49.1504247876062
YPL187W,53.324337831084456,68.08945527236382,74.00899550224888,90.86106946526736,64.47526236881559,70.77611194402799,42.37831084457771,49.92203898050975,40.423788105947025,38.24437781109445,36.51724137931034,24.85807096451774
YMR194C-B,78.12343828085957,64.16291854072963,70.12593703148426,69.34832583708146,59.29985007496252,72.5512243878061,77.46226886556721,100.03898050974513,101.65267366316841,123.2968515742129,104.75112443778112,63.30684657671164
YLR249W,57.60369815092454,68.66266866566717,67.24987506246876,77.81159420289855,57.22888555722139,63.33383308345827,49.27336331834083,60.78510744627686,51.14742628685657,50.954522738630686,47.02848575712144,40.35732133933033
YKL060C,54.529735132433785,66.71664167916042,73.15642178910545,87.40379810094953,46.97001499250375,62.12043978010995,45.871564217891056,56.11494252873563,48.976011994002995,40.70064967516242,36.77561219390305,26.05097451274363
YLR075W,49.144427786106945,62.56521739130435,64.95952023988006,76.36681659170415,53.01399300349825,60.531734132933536,53.48275862068966,59.43228385807097,49.590204897551224,60.23088455772114,55.84757621189405,41.81559220389805
YAL038W,46.846576711644175,62.64967516241879,66.88305847076462,78.27636181909045,55.36631684157921,54.733133433283356,41.82858570714642,46.15992003998001,37.71614192903548,31.824587706146925,29.832583708145926,25.20039980009995
YMR011W,53.70064967516242,50.661169415292356,48.47776111944028,59.40279860069965,70.16941529235382,79.3008495752124,55.3648175912044,71.46426786606696,59.97001499250375,80.3008495752124,70.83458270864568,44.04047976011994
YEL071W,56.45327336331834,56.65617191404298,56.8455772113943,61.51624187906047,57.83808095952024,63.63068465767117,29.93503248375812,32.20089955022489,26.782608695652176,35.85257371314343,35.40379810094952,26.658670664667667
YBR068C,50.90454772613693,60.359320339830084,60.24087956021989,75.68065967016491,44.405797101449274,52.492753623188406,23.509245377311345,30.627686156921538,29.746126936531734,34.55872063968016,29.510744627686158,17.99800099950025
YHR174W,43.754122938530735,55.387306346826584,59.43378310844578,70.6391804097951,45.34932533733134,48.8495752123938,36.51474262868566,43.61869065467266,35.8935532233883,30.536231884057973,26.96951524237881,20.733633183408294
YKL152C,42.20989505247376,57.02448775612194,60.968015992004,66.98750624687656,43.79860069965017,52.187906046976515,39.97151424287856,46.86656671664168,46.28185907046477,32.492753623188406,32.97151424287856,21.05047476261869
YNL178W,46.167416291854074,56.201899050474765,57.19240379810095,60.663668165917045,47.031484257871064,51.751624187906046,41.65767116441779,38.7416291854073,37.00299850074963,43.18840579710145,40.06246876561719,36.31334332833583
YGL103W,42.09895052473763,55.960019990004994,58.982508745627186,62.05847076461769,48.32583708145927,51.994502748625685,44.837081459270365,52.857571214392806,40.3848075962019,48.56121939030485,45.24537731134433,37.56771614192903
YLR029C,40.90554722638681,54.16591704147926,54.60469765117441,61.42678660669665,46.650174912543726,48.05697151424288,37.70864567716142,41.393803098450775,32.96951524237881,36.68115942028985,36.42528735632184,36.960019990004994
YCR005C,51.72763618190905,47.00599700149925,54.94302848575712,59.71114442778611,37.90004997501249,44.796101949025484,18.8135932033983,23.21239380309845,24.67766116941529,32.751624187906046,30.110444777611196,15.154422788605697
YJL191W,41.74412793603199,52.64767616191904,55.46326836581709,54.02948525737131,42.895052473763116,47.53273363318341,47.442278860569715,49.75662168915542,49.39430284857571,51.384307846076965,50.36731634182909,33.448775612193906
YDR050C,40.08745627186407,50.42678660669665,57.08345827086457,58.51074462768616,40.20539730134932,44.814592703648174,41.71064467766117,49.636181909045476,44.88605697151424,39.68815592203898,35.58620689655172,27.736131934032983
YEL046C,37.940529735132436,49.02498750624687,54.920539730134934,59.756121939030486,41.367816091954026,47.68115942028985,24.248375812093954,26.24687656171914,25.455772113943027,29.503248375812095,25.963018490754624,17.689155422288856
YPL131W,40.03398300849575,50.85857071464268,53.01549225387306,52.120939530234885,42.248375812093954,48.73263368315842,30.946526736631686,38.30784607696152,30.318840579710145,37.33083458270865,35.16691654172914,33.978010994502746
YLR167W,35.356821589205396,52.32783608195902,48.520739630184906,59.728635682158924,40.91004497751124,46.37581209395302,39.17641179410295,40.49125437281359,33.96351824087956,36.81609195402299,38.02498750624687,39.160919540229884
YPL081W,38.05547226386807,54.871564217891056,49.29785107446277,55.23588205897052,42.511244377811096,41.248375812093954,36.712143928035985,41.930034982508744,38.50424787606197,36.72263868065967,34.33233383308346,26.723638180909546
YER056C,39.446776611694155,48.98600699650175,47.703148425787106,56.55022488755622,41.56821589205397,43.324337831084456,26.350824587706146,30.138930534732634,29.97801099450275,38.62518740629685,33.796101949025484,25.18440779610195
YKL096W-A,38.91254372813593,46.07396301849075,52.39480259870065,56.85457271364318,38.255372313843075,45.13893053473264,27.60769615192404,32.044977511244376,29.4327836081959,35.6151924037981,32.92853573213393,21.51824087956022
YOL109W,46.035482258870566,43.016991504247876,41.008495752123935,49.43178410794603,47.44277861069465,47.13943028485757,15.098450774612694,16.840579710144926,15.700149925037481,18.681659170414793,15.717641179410295,13.75312343828086
YNL031C,34.65317341329335,47.490754622688655,48.51224387806097,58.73063468265867,34.22588705647176,39.916041979010494,36.79910044977511,42.64467766116942,37.670664667666166,41.830584707646175,43.31334332833583,24.06946526736632
YLR340W,37.049475262368816,43.506746626686656,47.699150424787604,47.63368315842079,39.56671664167916,40.61869065467266,31.32383808095952,37.54672663668166,34.48075962018991,38.412293853073464,35.618190904547724,31.356821589205396
YKR042W,34.31334332833583,44.675162418790606,45.3488255872064,54.85157421289355,38.329335332333834,39.871564217891056,11.010994502748625,12.859570214892553,9.07896051974013,9.299350324837581,10.667666166916542,8.130434782608695
YCR012W,33.35782108945527,44.66466766616691,46.85257371314343,53.84607696151924,35.51224387806097,41.9400299850075,30.067966016991505,36.59570214892554,31.08895552223888,24.448275862068964,23.49175412293853,16.77511244377811
YGL008C,28.60269865067466,48.867566216891554,46.079460269865066,47.87256371814093,40.968015992004,43.78460769615192,18.367316341829085,18.88255872063968,14.255872063968017,17.993003498250875,16.46526736631684,16.34432783608196
YIL053W,35.56121939030485,43.63718140929535,44.80759620189905,50.91954022988506,35.78710644677661,41.39930034982509,26.647176411794103,32.49875062468766,33.83608195902049,34.738130934532734,29.94952523738131,22.61319340329835
YPR035W,33.60269865067466,45.83408295852074,48.78810594702649,56.3968015992004,30.2023988005997,38.1864067966017,19.84207896051974,24.015992003998,21.175912043978013,28.181409295352324,23.510744627686158,15.328335832083958
YKL056C,39.40179910044977,39.07196401799101,42.24337831084458,42.2143928035982,39.47176411794103,41.71564217891054,32.83108445777111,34.31834082958521,33.7696151924038,39.39930034982509,34.377311344327836,28.191404297851076
YOR369C,31.33633183408296,41.458270864567716,45.74262868565717,44.85857071464268,41.047976011994,41.25387306346827,35.46726636681659,40.72763618190905,33.4992503748126,37.035482258870566,35.89605197401299,32.54472763618191
YLR044C,34.08745627186407,40.465267366316844,42.44827586206897,51.4687656171914,34.59620189905048,41.387306346826584,20.045477261369314,25.539730134932533,21.8015992003998,22.545727136431783,19.16141929035482,13.777611194402798
YNL112W,33.395802098950526,39.27686156921539,38.63718140929535,45.245877061469265,36.6351824087956,39.618190904547724,33.50824587706147,38.08695652173913,34.18990504747626,33.64967516241879,29.353323338330835,21.613693153423288
YGL253W,40.276361819090454,34.892553723138434,32.31784107946027,36.520739630184906,41.828085957021486,46.37581209395302,34.573713143428286,40.492753623188406,32.99000499750125,47.247876061969016,45.308345827086455,32.56371814092954
YPL198W,31.873063468265865,42.14592703648176,37.53323338330834,42.7536231884058,34.30884557721139,40.74112943528236,33.93903048475762,36.134932533733135,30.78760619690155,38.150924537731136,32.24087956021989,27.442278860569715
YJR009C,27.59370314842579,42.93253373313343,43.43478260869565,51.59770114942529,27.948525737131433,35.65367316341829,26.800599700149924,34.54522738630685,27.993503248375813,22.09445277361319,21.05297351324338,12.943028485757122
YNL251C,37.902048975512244,37.99700149925037,34.82608695652174,39.24037981009495,33.81559220389805,36.60269865067466,37.63468265867066,42.301349325337334,39.262368815592204,44.89705147426287,39.7416291854073,27.991504247876062
YJL159W,29.1744127936032,34.62368815592204,39.81959020489755,46.62118940529735,29.422288855572212,33.77411294352824,28.7856071964018,35.38530734632683,26.77911044477761,32.13893053473264,25.769615192403798,20.09695152423788
YDR064W,29.006996501749125,39.28085957021489,36.18740629685158,39.24087956021989,33.53073463268366,34.00949525237381,27.61319340329835,30.992503748125937,25.966016991504247,31.845577211394303,30.116441779110446,24.588205897051473
YER081W,30.5752123938031,40.26036981509245,34.84507746126936,38.58170914542729,31.03848075962019,35.199900049975014,24.381309345327335,28.417791104447776,27.734132933533232,27.984507746126937,28.231384307846078,17.20189905047476
YLR109W,29.14992503748126,37.85707146426787,36.37181409295352,49.36031984007996,25.657171414292854,32.49475262368816,17.11894052973513,19.537731134432782,23.150924537731136,23.76511744127936,20.345827086456772,11.735132433783109
YOL086W-A,37.71364317841079,35.523238380809595,33.532233883058474,38.91304347826087,26.05647176411794,32.821089455272364,22.928535732133934,27.567716141929036,29.93903048475762,26.597701149425287,24.630184907546226,15.472263868065967
YMR122W-A,30.340329835082457,36.36631684157921,35.016991504247876,47.493253373313344,27.162918540729635,29.157421289355323,10.689155422288856,14.180909545227387,12.522238880559721,10.704147926036981,8.992003998001,6.596201899050475
YHR094C,29.6111944027986,33.76861569215392,34.689655172413794,39.13343328335832,30.085957021489257,34.70014992503748,15.425787106446776,18.36281859070465,16.831584207896054,18.106446776611694,15.059470264867565,12.833583208395803
YBR069C,30.891054472763617,32.71264367816092,34.11094452773613,37.89055472263868,30.541729135432284,31.26686656671664,24.510744627686158,29.167416291854074,24.90854572713643,34.453773113443276,29.302348825587206,20.002998500749626
